SITE_ID,SITE_NAME,FLUXNET2015,FLUXNET-CH4,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP
RU-Ha1,Hakasia steppe,CC-BY-4.0,,54.7252,90.0022,446,GRA,-0.07,591.87
RU-Sam,Samoylov,Tier 2,,72.3738,126.4958,,GRA,,
RU-SkP,Yakutsk Spasskaya Pad larch,Tier 2,,62.255,129.168,246,DNF,,
RU-Tks,Tiksi,Tier 2,,71.5943,128.8878,7,GRA,-12.7,323
RU-Vrk,Seida/Vorkuta,Tier 2,Tier 2,67.0547,62.9405,100,CSH,-5.6,501
SD-Dem,Demokeya,CC-BY-4.0,,13.2829,30.4783,500,SAV,26,320
SE-Deg,Degero,,CC-BY-4.0,64.182,19.5565,270,GRA,1.2,523
SE-St1,Stordalen grassland,Tier 2,Tier 2,68.3541,19.0503,351,WET,-0.7,303.3
SJ-Adv,Adventdalen,CC-BY-4.0,,78.186,15.923,17,WET,,
SJ-Blv,"Bayelva, Spitsbergen",CC-BY-4.0,,78.9216,11.8311,25,SNO,-4.5,400
SN-Dhr,Dahra,CC-BY-4.0,,15.4028,-15.4322,40,SAV,29,404
UK-LBT,London_BT,,CC-BY-4.0,51.5215,-0.1389,21,URB,11.3,592
US-A03,ARM-AMF3-Oliktok,,CC-BY-4.0,70.4953,-149.8823,5,BSV,-11.2,115.1
US-A10,ARM-NSA-Barrow,,CC-BY-4.0,71.3242,-156.6149,4,BSV,-11.2,115.1
US-AR1,ARM USDA UNL OSU Woodward Switchgrass 1,CC-BY-4.0,,36.4267,-99.42,611,GRA,,
US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,CC-BY-4.0,,36.6358,-99.5975,646,GRA,,
US-ARM,ARM Southern Great Plains site- Lamont,CC-BY-4.0,,36.6058,-97.4888,314,CRO,14.76,843
US-ARb,ARM Southern Great Plains burn site- Lamont,CC-BY-4.0,,35.5497,-98.0402,424,GRA,,
US-ARc,ARM Southern Great Plains control site- Lamont,CC-BY-4.0,,35.5465,-98.04,424,GRA,,
US-Atq,Atqasuk,CC-BY-4.0,CC-BY-4.0,70.4696,-157.4089,15,WET,-9.7,93
US-BZB,Bonanza Creek Thermokarst Bog,,CC-BY-4.0,64.6955,-148.3208,100,WET,-2.4,274
US-BZF,Bonanza Creek Rich Fen,,CC-BY-4.0,64.7013,-148.3121,95,WET,-2.4,274
US-BZS,Bonanza Creek Black Spruce,,CC-BY-4.0,64.6963,-148.3235,100,ENF,-2.4,274
US-Beo,Barrow Environmental Observatory (BEO) tower,,CC-BY-4.0,71.281,-156.6123,,WET,-11.3,72
US-Bes,Barrow-Bes (Biocomplexity Experiment South tower),,CC-BY-4.0,71.2809,-156.5965,4.6,WET,-12,173
US-Bi1,Bouldin Island Alfalfa,,CC-BY-4.0,38.0992,-121.4993,-2.7,CRO,16,338
US-Bi2,Bouldin Island corn,,CC-BY-4.0,38.1091,-121.5351,-5,CRO,16,338
US-Blo,Blodgett Forest,CC-BY-4.0,,38.8953,-120.6328,1315,ENF,11.09,1226
US-CRT,Curtice Walter-Berger cropland,CC-BY-4.0,CC-BY-4.0,41.6285,-83.3471,180,CRO,10.1,849
US-Cop,Corral Pocket,CC-BY-4.0,,38.09,-109.39,1520,GRA,,
US-DPW,Disney Wilderness Preserve Wetland,,CC-BY-4.0,28.0521,-81.4361,23,WET,22.6,1142
US-EDN,Eden Landing Ecological Reserve,,CC-BY-4.0,37.6156,-122.114,,WET,,
US-EML,"Eight Mile Lake Permafrost thaw gradient, Healy Alaska.",,CC-BY-4.0,63.8784,-149.2536,700,OSH,-1,378
US-GBT,GLEES Brooklyn Tower,CC-BY-4.0,,41.3658,-106.2397,3191,ENF,0.8,1200
US-GLE,GLEES,CC-BY-4.0,,41.3665,-106.2399,3197,ENF,0.8,1200
US-Goo,Goodwin Creek,CC-BY-4.0,,34.2547,-89.8735,87,GRA,15.89,1425.77
US-HRA,Humnoke Farm Rice Field – Field A,,CC-BY-4.0,34.5852,-91.7517,,CRO,16.7,1250
US-HRC,Humnoke Farm Rice Field – Field C,,CC-BY-4.0,34.5888,-91.7517,,CRO,16.7,1250
US-Ha1,Harvard Forest EMS Tower (HFR1),CC-BY-4.0,,42.5378,-72.1715,340,DBF,6.62,1071
US-Ho1,Howland Forest (main tower),,CC-BY-4.0,45.2041,-68.7402,60,ENF,5.27,1070
US-IB2,Fermi National Accelerator Laboratory- Batavia (Prairie site),CC-BY-4.0,,41.8406,-88.241,226.5,GRA,9.04,930.25
US-ICs,Imnavait Creek Watershed Wet Sedge Tundra,,CC-BY-4.0,68.6058,-149.311,920,WET,-7.4,318
US-Ivo,Ivotuk,CC-BY-4.0,CC-BY-4.0,68.4865,-155.7503,568,WET,-8.28,304
US-KS1,Kennedy Space Center (slash pine),CC-BY-4.0,,28.4583,-80.6709,1,ENF,21.9,1266
US-KS2,Kennedy Space Center (scrub oak),CC-BY-4.0,,28.6086,-80.6715,3,CSH,21.66,1294
US-LA1,Pointe-aux-Chenes Brackish Marsh,,CC-BY-4.0,29.5013,-90.4449,0,WET,20.7,1625
US-LA2,Salvador WMA Freshwater Marsh,,CC-BY-4.0,29.8587,-90.2869,0,WET,20.2,1655
US-LWW,Little Washita Watershed,CC-BY-4.0,,34.9604,-97.9789,365,GRA,16.09,805.12
US-Lin,Lindcove Orange Orchard,CC-BY-4.0,,36.3566,-119.0922,131,CRO,,
US-Los,Lost Creek,CC-BY-4.0,CC-BY-4.0,46.0827,-89.9792,480,WET,4.08,828
US-MAC,MacArthur Agro-Ecology,,CC-BY-4.0,27.1632,-81.1873,,WET,,
US-MMS,Morgan Monroe State Forest,CC-BY-4.0,,39.3232,-86.4131,275,DBF,10.85,1032
US-MRM,Marsh Resource Meadowlands Mitigation Bank,,CC-BY-4.0,40.8164,-74.0435,1,WET,13.5,1120
US-Me1,Metolius - Eyerly burn,CC-BY-4.0,,44.5794,-121.5,896,ENF,7.88,704.61
US-Me2,Metolius mature ponderosa pine,CC-BY-4.0,,44.4523,-121.5574,1253,ENF,6.28,523
US-Me3,Metolius-second young aged pine,CC-BY-4.0,,44.3154,-121.6078,1005,ENF,7.07,719
US-Me4,Metolius-old aged ponderosa pine,CC-BY-4.0,,44.4992,-121.6224,922,ENF,7.61,1038.82
US-Me5,Metolius-first young aged pine,CC-BY-4.0,,44.4372,-121.5668,1188,ENF,6.47,590.81
US-Me6,Metolius Young Pine Burn,CC-BY-4.0,,44.3233,-121.6078,998,ENF,7.59,494
US-Myb,Mayberry Wetland,CC-BY-4.0,CC-BY-4.0,38.0499,-121.765,-4,WET,15.9,338
US-NC4,NC_AlligatorRiver,,CC-BY-4.0,35.7879,-75.9038,1,WET,16.6,1311
US-NGB,NGEE Arctic Barrow,,CC-BY-4.0,71.28,-156.6092,5.273,SNO,-11.27,171
US-NGC,NGEE Arctic Council,,CC-BY-4.0,64.8618,-163.7002,35,GRA,,
US-NR1,Niwot Ridge Forest (LTER NWT1),CC-BY-4.0,,40.0329,-105.5464,3050,ENF,1.5,800
US-Ne1,Mead - irrigated continuous maize site,CC-BY-4.0,,41.1651,-96.4766,361,CRO,10.07,790.37
US-Ne2,Mead - irrigated maize-soybean rotation site,CC-BY-4.0,,41.1649,-96.4701,362,CRO,10.08,788.89
US-Ne3,Mead - rainfed maize-soybean rotation site,CC-BY-4.0,,41.1797,-96.4397,363,CRO,10.11,783.68
US-ORv,Olentangy River Wetland Research Park,CC-BY-4.0,CC-BY-4.0,40.0201,-83.0183,221,WET,11.63,1499.1
US-OWC,Old Woman Creek,,CC-BY-4.0,41.3795,-82.5125,174,WET,10.7,930
US-Oho,Oak Openings,CC-BY-4.0,,41.5545,-83.8438,230,DBF,10.1,849
US-PFa,Park Falls/WLEF,CC-BY-4.0,CC-BY-4.0,45.9459,-90.2723,470,MF,4.33,823
